,diffusion_time_ns,delay_ns,counts_x,counts_y,replicate
0,450,100,7488,11157,0
1,450,200,9564,11742,0
2,450,400,10487,11159,0
3,450,800,11005,11048,0
4,450,1600,11139,11187,0
5,450,3200,11087,11073,0
6,450,6400,10996,10959,0
7,450,100,7438,11108,1
8,450,200,9643,11447,1
9,450,400,10612,10797,1
10,450,800,10959,10950,1
11,450,1600,11017,11136,1
12,450,3200,11004,11110,1
13,450,6400,11089,11074,1
14,450,100,7405,11042,2
15,450,200,9580,11659,2
16,450,400,10771,11062,2
17,450,800,10978,11067,2
18,450,1600,11061,10928,2
19,450,3200,11003,11016,2
20,450,6400,10947,11088,2
21,450,100,7453,11205,3
22,450,200,9719,11445,3
23,450,400,10520,10925,3
24,450,800,10789,11134,3
25,450,1600,11193,11072,3
26,450,3200,10921,11053,3
27,450,6400,10876,10941,3
28,450,100,7613,10976,4
29,450,200,9672,11589,4
30,450,400,10546,11153,4
31,450,800,10921,11153,4
32,450,1600,10980,11149,4
33,450,3200,10898,11286,4
34,450,6400,10940,11158,4
35,450,100,7561,11016,5
36,450,200,9593,11627,5
37,450,400,10484,10971,5
38,450,800,11012,10817,5
39,450,1600,10968,11035,5
40,450,3200,10965,10939,5
41,450,6400,10983,10965,5
42,450,100,7546,11199,6
43,450,200,9800,11553,6
44,450,400,10582,11146,6
45,450,800,10819,10898,6
46,450,1600,11082,11090,6
47,450,3200,10868,10917,6
48,450,6400,11196,10952,6
49,450,100,7303,11273,7
50,450,200,9559,11686,7
51,450,400,10698,11157,7
52,450,800,10887,10995,7
53,450,1600,11106,11138,7
54,450,3200,10973,11006,7
55,450,6400,10943,11060,7
56,450,100,7377,11376,8
57,450,200,9689,11631,8
58,450,400,10736,11075,8
59,450,800,11002,11068,8
60,450,1600,11099,10968,8
61,450,3200,11044,11052,8
62,450,6400,11057,11016,8
63,450,100,7503,11130,9
64,450,200,9924,11616,9
65,450,400,10742,11163,9
66,450,800,11146,11003,9
67,450,1600,11160,10918,9
68,450,3200,11046,11329,9
69,450,6400,11005,11055,9
70,450,100,7450,11153,10
71,450,200,9701,11473,10
72,450,400,10599,11070,10
73,450,800,11035,11060,10
74,450,1600,10882,11058,10
75,450,3200,11057,11077,10
76,450,6400,10932,10935,10
77,450,100,7367,11397,11
78,450,200,9873,11470,11
79,450,400,10537,11188,11
80,450,800,10884,10998,11
81,450,1600,11361,11119,11
82,450,3200,11102,11250,11
83,450,6400,10964,11040,11
84,900,100,6925,12567,0
85,900,200,8914,12874,0
86,900,400,9865,12210,0
87,900,800,10575,11374,0
88,900,1600,10975,10808,0
89,900,3200,10909,10800,0
90,900,6400,11036,10847,0
91,900,100,6862,12695,1
92,900,200,8813,12867,1
93,900,400,10044,11898,1
94,900,800,10622,11435,1
95,900,1600,10756,11056,1
96,900,3200,11091,11093,1
97,900,6400,10898,10840,1
98,900,100,6964,12294,2
99,900,200,8842,12826,2
100,900,400,9902,12163,2
101,900,800,10573,11256,2
102,900,1600,10934,10893,2
103,900,3200,11002,11204,2
104,900,6400,11045,11251,2
105,900,100,6852,12441,3
106,900,200,8850,13054,3
107,900,400,9947,12061,3
108,900,800,10812,11272,3
109,900,1600,11087,11064,3
110,900,3200,10976,11121,3
111,900,6400,10882,10974,3
112,900,100,6749,12560,4
113,900,200,8906,12837,4
114,900,400,10007,11944,4
115,900,800,10542,11345,4
116,900,1600,10905,11233,4
117,900,3200,11055,11012,4
118,900,6400,10880,11131,4
119,900,100,6880,12564,5
120,900,200,8976,12836,5
121,900,400,9847,12151,5
122,900,800,10763,11184,5
123,900,1600,11096,11231,5
124,900,3200,11173,10901,5
125,900,6400,11125,10869,5
126,900,100,6989,12462,6
127,900,200,8618,12649,6
128,900,400,10002,12053,6
129,900,800,10772,11105,6
130,900,1600,11058,10902,6
131,900,3200,11093,11177,6
132,900,6400,11011,11177,6
133,900,100,6710,12437,7
134,900,200,8885,12855,7
135,900,400,9980,11937,7
136,900,800,10674,11248,7
137,900,1600,10906,10929,7
138,900,3200,11265,11090,7
139,900,6400,10998,11105,7
140,900,100,6992,12563,8
141,900,200,8849,12959,8
142,900,400,10063,11846,8
143,900,800,10661,11271,8
144,900,1600,11113,10830,8
145,900,3200,11063,11182,8
146,900,6400,11062,11047,8
147,900,100,6906,12413,9
148,900,200,8842,12864,9
149,900,400,10005,12115,9
150,900,800,10816,11074,9
151,900,1600,10913,10948,9
152,900,3200,11142,11016,9
153,900,6400,10927,10914,9
154,900,100,6809,12484,10
155,900,200,8774,12813,10
156,900,400,9934,12049,10
157,900,800,10636,11234,10
158,900,1600,10996,10944,10
159,900,3200,11096,10828,10
160,900,6400,11015,11039,10
161,900,100,6897,12420,11
162,900,200,8832,13196,11
163,900,400,9824,11993,11
164,900,800,10628,11320,11
165,900,1600,11104,10936,11
166,900,3200,10905,11040,11
167,900,6400,10962,11028,11
168,3000,100,6300,13787,0
169,3000,200,7883,14714,0
170,3000,400,8547,14199,0
171,3000,800,9411,12942,0
172,3000,1600,10260,12045,0
173,3000,3200,10696,10971,0
174,3000,6400,11050,11053,0
175,3000,100,6174,13803,1
176,3000,200,7848,14677,1
177,3000,400,8543,14363,1
178,3000,800,9485,13110,1
179,3000,1600,10386,11845,1
180,3000,3200,10839,10934,1
181,3000,6400,10931,11035,1
182,3000,100,6315,13812,2
183,3000,200,7861,14845,2
184,3000,400,8569,14155,2
185,3000,800,9349,12904,2
186,3000,1600,10077,11788,2
187,3000,3200,10708,11118,2
188,3000,6400,10956,10988,2
189,3000,100,6270,13855,3
190,3000,200,7655,14882,3
191,3000,400,8732,14319,3
192,3000,800,9248,13183,3
193,3000,1600,10098,11968,3
194,3000,3200,10748,11045,3
195,3000,6400,11049,10966,3
196,3000,100,6104,13764,4
197,3000,200,7783,14582,4
198,3000,400,8848,13862,4
199,3000,800,9136,12981,4
200,3000,1600,10069,11989,4
201,3000,3200,10932,11113,4
202,3000,6400,10811,10875,4
203,3000,100,6251,13875,5
204,3000,200,7905,14538,5
205,3000,400,8599,14296,5
206,3000,800,9170,13004,5
207,3000,1600,10177,11684,5
208,3000,3200,10800,11054,5
209,3000,6400,10874,11120,5
210,3000,100,6246,13816,6
211,3000,200,7827,14876,6
212,3000,400,8584,14174,6
213,3000,800,9534,13202,6
214,3000,1600,10120,11791,6
215,3000,3200,10751,11191,6
216,3000,6400,10911,10871,6
217,3000,100,6206,13739,7
218,3000,200,7888,14817,7
219,3000,400,8736,14229,7
220,3000,800,9237,13205,7
221,3000,1600,10068,11815,7
222,3000,3200,10742,11163,7
223,3000,6400,10793,10967,7
224,3000,100,6255,13789,8
225,3000,200,8027,14715,8
226,3000,400,8710,14215,8
227,3000,800,9361,12913,8
228,3000,1600,10000,11878,8
229,3000,3200,10852,11263,8
230,3000,6400,10915,10858,8
231,3000,100,6026,13732,9
232,3000,200,7650,14759,9
233,3000,400,8747,14228,9
234,3000,800,9468,13133,9
235,3000,1600,10032,11950,9
236,3000,3200,10638,11214,9
237,3000,6400,11075,10947,9
238,3000,100,6233,13930,10
239,3000,200,7845,14770,10
240,3000,400,8570,14339,10
241,3000,800,9265,13024,10
242,3000,1600,10121,11846,10
243,3000,3200,10755,11138,10
244,3000,6400,10860,10888,10
245,3000,100,6132,13855,11
246,3000,200,7878,14727,11
247,3000,400,8674,14321,11
248,3000,800,9359,13061,11
249,3000,1600,10070,11927,11
250,3000,3200,10715,11147,11
251,3000,6400,10855,11063,11
