,Radius [nm],Relative frequency [%],S.D.,bead_diam_nm
0,0.533669949,0.0,0.0,40
1,0.613590717,0.0,0.0,40
2,0.705480218,0.0,0.0,40
3,0.811130822,0.0,0.0,40
4,0.9326033,0.0,0.0,40
5,1.072267294,0.0,0.0,40
6,1.232846737,0.0,0.0,40
7,1.417474151,0.0,0.0,40
8,1.629750848,0.0,0.0,40
9,1.873817325,0.0,0.0,40
10,2.154434681,0.0,0.0,40
11,2.477076292,0.0,0.0,40
12,2.848035812,0.0,0.0,40
13,3.274549007,0.0,0.0,40
14,3.76493597,0.0,0.0,40
15,4.328761578,0.0,0.0,40
16,4.977023602,0.0,0.0,40
17,5.722367287,0.0,0.0,40
18,6.579332352,0.0,0.0,40
19,7.564633369,0.0,0.0,40
20,8.697489738,0.0,0.0,40
21,10.0,0.0,0.0,40
22,11.49757004,0.006040408,0.019101448,40
23,13.2194109,0.730695426,0.611599386,40
24,15.19911098,4.091689587,0.729554594,40
25,17.47528267,9.296075821,0.626116633,40
26,20.09232903,14.44436264,1.105349064,40
27,23.10129738,17.69888687,1.539261818,40
28,26.56087875,18.00324249,1.485407591,40
29,30.53855515,15.37215424,1.070894241,40
30,35.11191559,10.80179405,1.025491357,40
31,40.37017059,5.875225544,1.393760681,40
32,46.41588974,2.153713942,1.34927702,40
33,53.36699295,0.449848413,0.734411001,40
34,61.35907364,0.073027238,0.170647591,40
35,70.54802704,0.0,0.0,40
36,81.11308289,0.000852023,0.002694334,40
37,93.2603302,0.028722443,0.090828337,40
38,107.2267227,0.055096507,0.174230456,40
39,123.2846756,0.067189842,0.1910889,40
40,141.7474213,0.095982067,0.203560129,40
41,162.9750824,0.149325371,0.335067689,40
42,187.3817444,0.188646674,0.4245978,40
43,215.4434662,0.174741626,0.365905374,40
44,247.7076416,0.108011976,0.205230579,40
45,284.8035889,0.044095356,0.077716485,40
46,327.4549255,0.027276253,0.052572012,40
47,376.4935608,0.025310151,0.049595296,40
48,432.8761292,0.017180532,0.045303866,40
49,497.7023315,0.007455351,0.023575891,40
50,572.2368164,0.001193802,0.003775134,40
51,657.9332275,0.002435816,0.007702725,40
52,756.4633789,0.002025576,0.006405433,40
53,869.7489624,0.0005394,0.001705733,40
54,1000.0,0.0,0.0,40
55,1149.756958,0.0,0.0,40
56,1321.941162,0.0,0.0,40
57,1519.911011,0.0,0.0,40
58,1747.52832,0.0,0.0,40
59,2009.23291,0.0,0.0,40
60,2310.129639,0.0,0.0,40
61,2656.087891,0.0,0.0,40
62,3053.855713,0.0,0.0,40
63,3511.191895,0.0,0.0,40
64,4037.017334,0.0,0.0,40
65,4641.588867,0.0,0.0,40
66,5336.699219,0.0,0.0,40
67,6135.907227,0.0,0.0,40
68,7054.802246,0.0,0.0,40
69,8111.308594,0.0,0.0,40
70,9326.033203,0.007159193,0.022639357,40
71,0.533669949,0.0,0.0,60
72,0.613590717,0.0,0.0,60
73,0.705480218,0.0,0.0,60
74,0.811130822,0.0,0.0,60
75,0.9326033,0.0,0.0,60
76,1.072267294,0.0,0.0,60
77,1.232846737,0.0,0.0,60
78,1.417474151,0.0,0.0,60
79,1.629750848,0.0,0.0,60
80,1.873817325,0.0,0.0,60
81,2.154434681,0.0,0.0,60
82,2.477076292,0.0,0.0,60
83,2.848035812,0.0,0.0,60
84,3.274549007,0.0,0.0,60
85,3.76493597,0.0,0.0,60
86,4.328761578,0.0,0.0,60
87,4.977023602,0.0,0.0,60
88,5.722367287,0.0,0.0,60
89,6.579332352,0.0,0.0,60
90,7.564633369,0.0,0.0,60
91,8.697489738,0.0,0.0,60
92,10.0,0.0,0.0,60
93,11.49757004,0.0,0.0,60
94,13.2194109,0.0,0.0,60
95,15.19911098,0.0,0.0,60
96,17.47528267,0.0,0.0,60
97,20.09232903,0.746024251,0.636449814,60
98,23.10129738,3.584574938,1.501127481,60
99,26.56087875,8.592961311,1.276345611,60
100,30.53855515,14.01053619,0.927594781,60
101,35.11191559,17.7464962,2.025176287,60
102,40.37017059,18.39491081,2.630731821,60
103,46.41588974,15.75009537,2.190308094,60
104,53.36699295,10.84210491,1.420663476,60
105,61.35907364,5.534533024,1.628747821,60
106,70.54802704,1.742626667,1.506588817,60
107,81.11308289,0.337941617,0.400750339,60
108,93.2603302,0.0,0.0,60
109,107.2267227,0.038660917,0.122256555,60
110,123.2846756,0.120849393,0.373127311,60
111,141.7474213,0.239415005,0.613865972,60
112,162.9750824,0.343806893,0.729594886,60
113,187.3817444,0.422266394,0.661848068,60
114,215.4434662,0.422515124,0.563143671,60
115,247.7076416,0.331951767,0.56636554,60
116,284.8035889,0.201729774,0.502086163,60
117,327.4549255,0.091707446,0.290004402,60
118,376.4935608,0.022345066,0.068082824,60
119,432.8761292,0.002320925,0.007339411,60
120,497.7023315,0.002614316,0.008267193,60
121,572.2368164,0.001278342,0.004042471,60
122,657.9332275,0.0,0.0,60
123,756.4633789,0.0,0.0,60
124,869.7489624,0.0,0.0,60
125,1000.0,0.0,0.0,60
126,1149.756958,0.0,0.0,60
127,1321.941162,0.0,0.0,60
128,1519.911011,0.0,0.0,60
129,1747.52832,0.000526613,0.001665295,60
130,2009.23291,0.01368791,0.043284971,60
131,2310.129639,0.038900141,0.123013042,60
132,2656.087891,0.067794032,0.214383572,60
133,3053.855713,0.089482203,0.282967567,60
134,3511.191895,0.095374011,0.301599085,60
135,4037.017334,0.082708441,0.261547029,60
136,4641.588867,0.056039989,0.177213997,60
137,5336.699219,0.026043048,0.08235535,60
138,6135.907227,0.005181735,0.016386086,60
139,7054.802246,0.0,0.0,60
140,8111.308594,0.0,0.0,60
141,9326.033203,0.0,0.0,60
142,0.533669949,0.0,0.0,100
143,0.613590717,0.0,0.0,100
144,0.705480218,0.0,0.0,100
145,0.811130822,0.0,0.0,100
146,0.9326033,0.0,0.0,100
147,1.072267294,0.0,0.0,100
148,1.232846737,0.0,0.0,100
149,1.417474151,0.0,0.0,100
150,1.629750848,0.0,0.0,100
151,1.873817325,0.0,0.0,100
152,2.154434681,0.0,0.0,100
153,2.477076292,0.0,0.0,100
154,2.848035812,0.0,0.0,100
155,3.274549007,0.0,0.0,100
156,3.76493597,0.0,0.0,100
157,4.328761578,0.0,0.0,100
158,4.977023602,0.0,0.0,100
159,5.722367287,0.0,0.0,100
160,6.579332352,0.0,0.0,100
161,7.564633369,0.0,0.0,100
162,8.697489738,0.0,0.0,100
163,10.0,0.0,0.0,100
164,11.49757004,0.0,0.0,100
165,13.2194109,0.0,0.0,100
166,15.19911098,0.0,0.0,100
167,17.47528267,0.0,0.0,100
168,20.09232903,0.0,0.0,100
169,23.10129738,0.0,0.0,100
170,26.56087875,0.0,0.0,100
171,30.53855515,0.113431484,0.358701855,100
172,35.11191559,0.871397436,1.359526873,100
173,40.37017059,5.64111805,1.431551576,100
174,46.41588974,12.88307285,0.927539468,100
175,53.36699295,19.19818878,1.559857011,100
176,61.35907364,21.63545799,2.227292538,100
177,70.54802704,19.09587288,2.115340233,100
178,81.11308289,12.77683258,1.547534347,100
179,93.2603302,5.646719456,1.245996118,100
180,107.2267227,0.984933496,0.906474054,100
181,123.2846756,0.063946635,0.202216998,100
182,141.7474213,0.0,0.0,100
183,162.9750824,0.0,0.0,100
184,187.3817444,0.059881892,0.189363182,100
185,215.4434662,0.141709998,0.448126346,100
186,247.7076416,0.197544023,0.624689043,100
187,284.8035889,0.195234433,0.617385507,100
188,327.4549255,0.135449901,0.428330213,100
189,376.4935608,0.053369645,0.168769628,100
190,432.8761292,0.0,0.0,100
191,497.7023315,0.0,0.0,100
192,572.2368164,0.0,0.0,100
193,657.9332275,0.0,0.0,100
194,756.4633789,0.0,0.0,100
195,869.7489624,0.0,0.0,100
196,1000.0,0.002169659,0.006861066,100
197,1149.756958,0.008119575,0.025676347,100
198,1321.941162,0.010045783,0.031767555,100
199,1519.911011,0.00544522,0.017219296,100
200,1747.52832,0.0,0.0,100
201,2009.23291,0.0,0.0,100
202,2310.129639,0.0,0.0,100
203,2656.087891,0.0,0.0,100
204,3053.855713,0.0,0.0,100
205,3511.191895,0.0,0.0,100
206,4037.017334,0.0,0.0,100
207,4641.588867,0.015653796,0.04950165,100
208,5336.699219,0.058920681,0.186323553,100
209,6135.907227,0.087895602,0.277950287,100
210,7054.802246,0.07489457,0.236837432,100
211,8111.308594,0.032264825,0.102030337,100
212,9326.033203,0.010430259,0.032983374,100
213,0.533669949,0.0,0.0,200
214,0.613590717,0.0,0.0,200
215,0.705480218,0.0,0.0,200
216,0.811130822,0.0,0.0,200
217,0.9326033,0.0,0.0,200
218,1.072267294,0.0,0.0,200
219,1.232846737,0.0,0.0,200
220,1.417474151,0.0,0.0,200
221,1.629750848,0.0,0.0,200
222,1.873817325,0.0,0.0,200
223,2.154434681,0.0,0.0,200
224,2.477076292,0.0,0.0,200
225,2.848035812,0.0,0.0,200
226,3.274549007,0.0,0.0,200
227,3.76493597,0.0,0.0,200
228,4.328761578,0.0,0.0,200
229,4.977023602,0.0,0.0,200
230,5.722367287,0.0,0.0,200
231,6.579332352,0.0,0.0,200
232,7.564633369,0.0,0.0,200
233,8.697489738,0.0,0.0,200
234,10.0,0.0,0.0,200
235,11.49757004,0.0,0.0,200
236,13.2194109,0.0,0.0,200
237,15.19911098,0.0,0.0,200
238,17.47528267,0.0,0.0,200
239,20.09232903,0.0,0.0,200
240,23.10129738,0.0,0.0,200
241,26.56087875,0.0,0.0,200
242,30.53855515,0.0,0.0,200
243,35.11191559,0.0,0.0,200
244,40.37017059,0.0,0.0,200
245,46.41588974,0.0,0.0,200
246,53.36699295,0.0,0.0,200
247,61.35907364,0.207205281,0.43573916,200
248,70.54802704,3.685316086,1.29357338,200
249,81.11308289,10.2308321,2.057025671,200
250,93.2603302,16.72758484,2.414373875,200
251,107.2267227,20.05012703,2.090914726,200
252,123.2846756,18.76769638,1.626900911,200
253,141.7474213,13.68105125,2.426592588,200
254,162.9750824,7.309705734,3.147696018,200
255,187.3817444,2.521473408,2.55354023,200
256,215.4434662,0.550798416,1.222038507,200
257,247.7076416,0.100963004,0.319273055,200
258,284.8035889,0.0,0.0,200
259,327.4549255,0.0,0.0,200
260,376.4935608,0.001649138,0.005215033,200
261,432.8761292,0.058015302,0.183460489,200
262,497.7023315,0.146386638,0.462915182,200
263,572.2368164,0.213702351,0.675786197,200
264,657.9332275,0.247072682,0.684079111,200
265,756.4633789,0.238587871,0.528484762,200
266,869.7489624,0.245387077,0.422860771,200
267,1000.0,0.304192245,0.48704204,200
268,1149.756958,0.465058953,0.498856753,200
269,1321.941162,0.575369298,0.647115827,200
270,1519.911011,0.644073009,0.809101939,200
271,1747.52832,0.606702387,0.980598569,200
272,2009.23291,0.527803123,0.98944658,200
273,2310.129639,0.443336636,0.899914086,200
274,2656.087891,0.350541234,0.832847714,200
275,3053.855713,0.270475596,0.674837768,200
276,3511.191895,0.228755414,0.493081242,200
277,4037.017334,0.158594579,0.501520097,200
278,4641.588867,0.106115311,0.335566103,200
279,5336.699219,0.029494619,0.093270183,200
280,6135.907227,0.014956524,0.047296681,200
281,7054.802246,0.055679098,0.133570969,200
282,8111.308594,0.104219571,0.224728957,200
283,9326.033203,0.131076559,0.276527286,200
